id,nba_api_id,first_name,last_name,display_name,birth_date,height_inches,weight_lbs,draft_year,bball_ref_id,position,team_id,status,is_active
7,1630173,Precious,Achiuwa,Precious Achiuwa,1999-09-19,80,243,2020,achiupr01,Forward,25,active,true
8,203500,Steven,Adams,Steven Adams,1993-07-20,83,265,2013,adamsst01,Center,12,active,true
9,1628389,Bam,Adebayo,Bam Adebayo,1997-07-18,81,255,2017,adebaba01,Center-Forward,15,active,true
10,1630534,Ochai,Agbaji,Ochai Agbaji,2000-04-20,77,215,2022,agbajoc01,Guard,18,active,true
11,1630583,Santi,Aldama,Santi Aldama,2001-01-10,84,215,2021,aldamsa01,Forward-Center,30,active,true
12,1641725,Trey,Alexander,Trey Alexander,2003-05-02,77,185,Undrafted,alexatr01,Guard,7,active,true
13,1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,1998-09-02,77,205,2019,alexani01,Guard,4,active,true
14,1628960,Grayson,Allen,Grayson Allen,1995-10-08,75,198,2018,allengr01,Guard,23,active,true
15,1628386,Jarrett,Allen,Jarrett Allen,1998-04-21,81,243,2017,allenja01,Center,6,active,true
16,1630631,Jose,Alvarado,Jose Alvarado,1998-04-12,72,179,Undrafted,alvarjo01,Guard,19,active,true
17,203937,Kyle,Anderson,Kyle Anderson,1993-09-20,80,230,2014,anderky01,Forward-Guard,17,active,true
18,1630828,Alex,Antetokounmpo,Alex Antetokounmpo,2001-08-27,80,214,Undrafted,antetal01,Forward,16,active,true
19,203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,1994-12-06,83,243,2013,antetgi01,Forward,16,active,true
20,203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,1992-07-18,79,219,2014,antetth01,Forward,16,active,true
21,1630175,Cole,Anthony,Cole Anthony,2000-05-15,74,185,2020,anthoco01,Guard,,active,true
22,1628384,OG,Anunoby,OG Anunoby,1997-07-17,79,240,2017,anunoog01,Forward-Guard,19,active,true
23,1630166,Deni,Avdija,Deni Avdija,2001-01-03,80,228,2020,avdijde01,Forward,24,active,true
24,1629028,Deandre,Ayton,Deandre Ayton,1998-07-23,84,252,2018,aytonde01,Center,14,active,true
25,1628963,Marvin,Bagley III,Marvin Bagley III,1999-03-14,82,235,2018,baglema01,Forward,9,active,true
26,1642846,Ace,Bailey,Ace Bailey,2006-08-13,81,200,2025,baileac01,Forward,29,active,true
27,1630163,LaMelo,Ball,LaMelo Ball,2001-08-22,79,180,2020,ballla01,Guard,33,active,true
28,1628366,Lonzo,Ball,Lonzo Ball,1997-10-27,77,190,2017,balllo01,Guard,,active,true
