team_id,team_name,season,shot_zone,fgm_allowed,fga_allowed,fg_pct_allowed,frequency_pct
1610612737,Atlanta Hawks,2024-25,Restricted Area,17.6,26.7,0.66,0.2963
1610612737,Atlanta Hawks,2024-25,In The Paint (Non-RA),7.6,16.9,0.45,0.1876
1610612737,Atlanta Hawks,2024-25,Mid-Range,3.9,8.8,0.448,0.0977
1610612737,Atlanta Hawks,2024-25,Left Corner 3,2.1,5.5,0.389,0.061
1610612737,Atlanta Hawks,2024-25,Right Corner 3,2.0,4.9,0.402,0.0544
1610612737,Atlanta Hawks,2024-25,Above the Break 3,10.2,27.3,0.373,0.303
1610612738,Boston Celtics,2024-25,Restricted Area,14.8,23.1,0.641,0.259
1610612738,Boston Celtics,2024-25,In The Paint (Non-RA),8.3,19.1,0.435,0.2141
1610612738,Boston Celtics,2024-25,Mid-Range,4.3,10.1,0.425,0.1132
1610612738,Boston Celtics,2024-25,Left Corner 3,1.6,4.5,0.358,0.0504
1610612738,Boston Celtics,2024-25,Right Corner 3,1.5,3.7,0.414,0.0415
1610612738,Boston Celtics,2024-25,Above the Break 3,9.7,28.7,0.339,0.3217
1610612751,Brooklyn Nets,2024-25,Restricted Area,17.8,26.4,0.674,0.3139
1610612751,Brooklyn Nets,2024-25,In The Paint (Non-RA),7.0,15.5,0.455,0.1843
1610612751,Brooklyn Nets,2024-25,Mid-Range,2.7,6.7,0.405,0.0797
1610612751,Brooklyn Nets,2024-25,Left Corner 3,2.1,5.5,0.376,0.0654
1610612751,Brooklyn Nets,2024-25,Right Corner 3,1.9,5.2,0.374,0.0618
1610612751,Brooklyn Nets,2024-25,Above the Break 3,8.9,24.8,0.359,0.2949
1610612766,Charlotte Hornets,2024-25,Restricted Area,16.7,25.6,0.654,0.2886
1610612766,Charlotte Hornets,2024-25,In The Paint (Non-RA),7.2,15.2,0.475,0.1714
1610612766,Charlotte Hornets,2024-25,Mid-Range,3.4,8.2,0.42,0.0924
1610612766,Charlotte Hornets,2024-25,Left Corner 3,1.9,4.4,0.435,0.0496
1610612766,Charlotte Hornets,2024-25,Right Corner 3,1.9,4.6,0.419,0.0519
1610612766,Charlotte Hornets,2024-25,Above the Break 3,10.3,30.7,0.337,0.3461
1610612741,Chicago Bulls,2024-25,Restricted Area,19.2,29.0,0.663,0.3056
1610612741,Chicago Bulls,2024-25,In The Paint (Non-RA),7.8,17.6,0.443,0.1855
1610612741,Chicago Bulls,2024-25,Mid-Range,3.8,8.8,0.427,0.0927
1610612741,Chicago Bulls,2024-25,Left Corner 3,1.6,4.5,0.35,0.0474
1610612741,Chicago Bulls,2024-25,Right Corner 3,1.6,4.5,0.364,0.0474
1610612741,Chicago Bulls,2024-25,Above the Break 3,10.4,30.5,0.342,0.3214
1610612739,Cleveland Cavaliers,2024-25,Restricted Area,15.7,25.1,0.627,0.2767
1610612739,Cleveland Cavaliers,2024-25,In The Paint (Non-RA),7.9,18.0,0.437,0.1985
1610612739,Cleveland Cavaliers,2024-25,Mid-Range,4.2,10.3,0.406,0.1136
1610612739,Cleveland Cavaliers,2024-25,Left Corner 3,2.3,5.4,0.422,0.0595
1610612739,Cleveland Cavaliers,2024-25,Right Corner 3,1.9,5.1,0.369,0.0562
1610612739,Cleveland Cavaliers,2024-25,Above the Break 3,9.3,26.8,0.347,0.2955
1610612742,Dallas Mavericks,2024-25,Restricted Area,17.9,27.8,0.644,0.3038
1610612742,Dallas Mavericks,2024-25,In The Paint (Non-RA),8.5,19.4,0.437,0.212
1610612742,Dallas Mavericks,2024-25,Mid-Range,3.8,9.1,0.422,0.0995
1610612742,Dallas Mavericks,2024-25,Left Corner 3,1.8,5.0,0.363,0.0546
1610612742,Dallas Mavericks,2024-25,Right Corner 3,2.0,4.9,0.418,0.0536
1610612742,Dallas Mavericks,2024-25,Above the Break 3,9.0,25.3,0.354,0.2765
1610612743,Denver Nuggets,2024-25,Restricted Area,17.0,25.2,0.672,0.2716
1610612743,Denver Nuggets,2024-25,In The Paint (Non-RA),8.6,19.6,0.438,0.2112
1610612743,Denver Nuggets,2024-25,Mid-Range,3.7,9.5,0.387,0.1024
1610612743,Denver Nuggets,2024-25,Left Corner 3,2.3,5.6,0.406,0.0603
1610612743,Denver Nuggets,2024-25,Right Corner 3,1.8,4.7,0.389,0.0506
1610612743,Denver Nuggets,2024-25,Above the Break 3,10.0,28.2,0.355,0.3039
1610612765,Detroit Pistons,2024-25,Restricted Area,14.4,22.3,0.647,0.254
1610612765,Detroit Pistons,2024-25,In The Paint (Non-RA),8.7,19.6,0.444,0.2232
1610612765,Detroit Pistons,2024-25,Mid-Range,3.8,8.8,0.43,0.1002
1610612765,Detroit Pistons,2024-25,Left Corner 3,1.9,5.0,0.386,0.0569
1610612765,Detroit Pistons,2024-25,Right Corner 3,1.7,4.7,0.353,0.0535
1610612765,Detroit Pistons,2024-25,Above the Break 3,10.1,27.4,0.367,0.3121
1610612744,Golden State Warriors,2024-25,Restricted Area,12.6,18.5,0.679,0.2134
1610612744,Golden State Warriors,2024-25,In The Paint (Non-RA),10.3,22.5,0.456,0.2595
1610612744,Golden State Warriors,2024-25,Mid-Range,4.4,9.6,0.464,0.1107
1610612744,Golden State Warriors,2024-25,Left Corner 3,1.9,5.0,0.374,0.0577
1610612744,Golden State Warriors,2024-25,Right Corner 3,2.0,4.4,0.442,0.0507
1610612744,Golden State Warriors,2024-25,Above the Break 3,9.4,26.7,0.351,0.308
1610612745,Houston Rockets,2024-25,Restricted Area,16.5,25.0,0.659,0.2838
1610612745,Houston Rockets,2024-25,In The Paint (Non-RA),8.4,20.2,0.417,0.2293
1610612745,Houston Rockets,2024-25,Mid-Range,3.3,8.6,0.383,0.0976
