player_id,season,play_type,possessions,points,poss_pct,percentile,games_played,points_per_possession,fg_pct,efg_pct
203507,2022-23,Transition,8.0,9.3,0.272,0.564,63,1.163,0.6,0.615
1628983,2022-23,Transition,6.0,7.6,0.217,0.762,68,1.267,0.56,0.592
1627759,2022-23,Transition,5.9,7.4,0.23,0.756,67,1.254,0.63,0.669
1628368,2022-23,Transition,5.5,6.5,0.234,0.668,73,1.182,0.6,0.629
2544,2022-23,Transition,6.8,8.3,0.247,0.687,55,1.221,0.64,0.667
1630162,2022-23,Transition,5.3,5.7,0.212,0.403,79,1.075,0.54,0.598
203897,2022-23,Transition,4.5,5.6,0.198,0.727,77,1.244,0.59,0.641
1628369,2022-23,Transition,4.2,5.3,0.154,0.775,74,1.262,0.59,0.641
1627741,2022-23,Transition,4.0,4.9,0.26,0.739,80,1.225,0.51,0.666
1630217,2022-23,Transition,5.6,6.6,0.283,0.643,58,1.179,0.52,0.623
1629673,2022-23,Transition,4.1,4.6,0.2,0.49,82,1.122,0.53,0.598
1629630,2022-23,Transition,5.3,6.1,0.2,0.532,61,1.151,0.6,0.637
1628378,2022-23,Transition,4.6,5.4,0.18,0.649,68,1.174,0.56,0.633
1631097,2022-23,Transition,4.0,4.7,0.242,0.633,78,1.175,0.53,0.592
1629027,2022-23,Transition,5.0,4.9,0.187,0.207,73,0.98,0.45,0.502
1630530,2022-23,Transition,3.2,4.5,0.272,0.914,79,1.406,0.6,0.71
1627783,2022-23,Transition,4.1,5.0,0.17,0.704,71,1.22,0.62,0.653
1628384,2022-23,Transition,3.9,5.0,0.241,0.789,67,1.282,0.61,0.674
1631094,2022-23,Transition,4.1,4.4,0.188,0.39,72,1.073,0.53,0.552
1630532,2022-23,Transition,2.9,3.9,0.165,0.85,80,1.345,0.58,0.678
1631093,2022-23,Transition,4.1,4.1,0.22,0.282,74,1.0,0.5,0.552
1629628,2022-23,Transition,4.1,4.2,0.197,0.318,73,1.024,0.51,0.55
202691,2022-23,Transition,3.8,4.4,0.182,0.601,69,1.158,0.49,0.618
1630178,2022-23,Transition,3.5,5.0,0.194,0.929,60,1.429,0.62,0.702
1629018,2022-23,Transition,3.8,4.5,0.236,0.63,66,1.184,0.48,0.576
1626179,2022-23,Transition,4.5,4.7,0.202,0.338,64,1.044,0.48,0.547
1628374,2022-23,Transition,3.5,4.5,0.163,0.764,66,1.286,0.58,0.649
1628398,2022-23,Transition,4.2,4.5,0.187,0.397,64,1.071,0.56,0.619
203944,2022-23,Transition,3.5,3.8,0.146,0.365,77,1.086,0.51,0.569
1630581,2022-23,Transition,3.7,3.8,0.203,0.322,76,1.027,0.56,0.582
1629008,2022-23,Transition,3.3,4.5,0.224,0.862,63,1.364,0.55,0.712
1627749,2022-23,Transition,3.2,3.8,0.153,0.613,74,1.187,0.6,0.657
1629640,2022-23,Transition,3.9,4.4,0.179,0.518,63,1.128,0.53,0.598
1626164,2022-23,Transition,4.7,5.2,0.183,0.511,53,1.106,0.52,0.588
203468,2022-23,Transition,3.7,3.7,0.172,0.23,75,1.0,0.44,0.534
1627832,2022-23,Transition,3.7,4.0,0.185,0.443,69,1.081,0.42,0.525
1628971,2022-23,Transition,2.5,3.4,0.221,0.85,80,1.36,0.66,0.707
1630231,2022-23,Transition,2.7,3.3,0.246,0.674,82,1.222,0.65,0.654
