team_id,team_abbreviation,season,play_type,possessions,points,poss_pct,percentile,games_played,points_per_possession,fg_pct,efg_pct
1610612741,CHI,2022-23,Transition,16.2,18.0,0.147,0.69,82,1.111,0.531,0.609
1610612758,SAC,2022-23,Transition,16.6,18.5,0.148,0.621,82,1.114,0.541,0.608
1610612742,DAL,2022-23,Transition,17.2,18.8,0.158,0.862,82,1.093,0.516,0.58
1610612739,CLE,2022-23,Transition,17.2,18.9,0.16,0.793,82,1.099,0.534,0.605
1610612766,CHA,2022-23,Transition,17.5,19.0,0.153,0.966,82,1.086,0.518,0.582
1610612751,BKN,2022-23,Transition,17.8,19.5,0.159,0.897,82,1.096,0.507,0.576
1610612748,MIA,2022-23,Transition,17.3,19.8,0.162,0.448,82,1.145,0.533,0.619
1610612743,DEN,2022-23,Transition,17.6,20.0,0.16,0.517,82,1.136,0.537,0.591
1610612760,OKC,2022-23,Transition,18.0,20.1,0.156,0.655,82,1.117,0.539,0.615
1610612749,MIL,2022-23,Transition,18.4,20.2,0.162,0.828,82,1.098,0.51,0.581
1610612738,BOS,2022-23,Transition,19.4,20.5,0.175,1.0,82,1.057,0.498,0.562
1610612756,PHX,2022-23,Transition,18.8,20.5,0.17,0.931,82,1.09,0.507,0.576
1610612763,MEM,2022-23,Transition,18.7,20.7,0.164,0.724,82,1.107,0.527,0.59
1610612752,NYK,2022-23,Transition,18.3,20.7,0.166,0.552,82,1.131,0.529,0.602
1610612744,GSW,2022-23,Transition,19.1,21.1,0.167,0.759,82,1.105,0.534,0.607
1610612746,LAC,2022-23,Transition,18.6,21.5,0.169,0.414,82,1.156,0.539,0.607
1610612740,NOP,2022-23,Transition,19.3,21.5,0.174,0.586,82,1.114,0.541,0.606
1610612753,ORL,2022-23,Transition,18.8,21.8,0.17,0.345,82,1.16,0.559,0.632
1610612737,ATL,2022-23,Transition,19.2,22.2,0.168,0.276,82,1.156,0.55,0.616
1610612765,DET,2022-23,Transition,18.9,22.2,0.169,0.103,82,1.175,0.551,0.623
1610612761,TOR,2022-23,Transition,18.7,22.4,0.174,0.034,82,1.198,0.575,0.656
1610612755,PHI,2022-23,Transition,19.3,22.5,0.177,0.172,82,1.166,0.567,0.641
1610612750,MIN,2022-23,Transition,19.8,22.6,0.173,0.483,82,1.141,0.552,0.628
1610612757,POR,2022-23,Transition,19.6,22.7,0.177,0.31,82,1.158,0.538,0.611
1610612754,IND,2022-23,Transition,19.6,22.7,0.171,0.241,82,1.158,0.547,0.614
1610612764,WAS,2022-23,Transition,19.5,23.2,0.177,0.069,82,1.19,0.555,0.622
1610612747,LAL,2022-23,Transition,20.2,23.4,0.176,0.379,82,1.158,0.541,0.62
1610612759,SAS,2022-23,Transition,20.6,24.0,0.181,0.207,82,1.165,0.566,0.632
1610612762,UTA,2022-23,Transition,22.0,25.9,0.193,0.138,82,1.177,0.545,0.615
1610612745,HOU,2022-23,Transition,22.7,27.2,0.205,0.0,82,1.198,0.563,0.639
1610612752,NYK,2022-23,Isolation,5.6,5.3,0.051,0.586,82,0.946,0.388,0.431
1610612741,CHI,2022-23,Isolation,6.7,5.4,0.061,1.0,82,0.806,0.376,0.406
1610612763,MEM,2022-23,Isolation,6.7,5.6,0.059,0.966,82,0.836,0.376,0.416
1610612745,HOU,2022-23,Isolation,6.6,6.0,0.06,0.759,82,0.909,0.404,0.443
1610612760,OKC,2022-23,Isolation,6.7,6.1,0.058,0.793,82,0.91,0.414,0.445
1610612766,CHA,2022-23,Isolation,6.3,6.3,0.056,0.138,82,1.0,0.457,0.487
1610612764,WAS,2022-23,Isolation,7.0,6.6,0.064,0.517,82,0.943,0.419,0.453
1610612739,CLE,2022-23,Isolation,7.7,6.6,0.072,0.931,82,0.857,0.396,0.426
1610612750,MIN,2022-23,Isolation,7.2,6.6,0.063,0.69,82,0.917,0.424,0.458
1610612747,LAL,2022-23,Isolation,6.6,6.6,0.058,0.069,82,1.0,0.457,0.497
1610612749,MIL,2022-23,Isolation,6.6,6.6,0.059,0.103,82,1.0,0.46,0.502
1610612748,MIA,2022-23,Isolation,7.5,6.8,0.07,0.828,82,0.907,0.419,0.457
1610612759,SAS,2022-23,Isolation,6.9,6.9,0.061,0.172,82,1.0,0.448,0.49
1610612757,POR,2022-23,Isolation,7.4,6.9,0.067,0.552,82,0.932,0.422,0.452
1610612746,LAC,2022-23,Isolation,7.3,7.0,0.066,0.345,82,0.959,0.423,0.474
1610612756,PHX,2022-23,Isolation,7.6,7.0,0.069,0.655,82,0.921,0.397,0.44
1610612755,PHI,2022-23,Isolation,7.7,7.1,0.071,0.621,82,0.922,0.433,0.467
1610612761,TOR,2022-23,Isolation,7.6,7.2,0.071,0.379,82,0.947,0.438,0.48
1610612758,SAC,2022-23,Isolation,7.5,7.2,0.067,0.31,82,0.96,0.451,0.488
1610612740,NOP,2022-23,Isolation,7.7,7.2,0.07,0.448,82,0.935,0.42,0.466
1610612753,ORL,2022-23,Isolation,7.8,7.4,0.071,0.483,82,0.949,0.425,0.464
1610612742,DAL,2022-23,Isolation,8.0,7.4,0.074,0.724,82,0.925,0.412,0.444
1610612744,GSW,2022-23,Isolation,8.3,7.5,0.072,0.862,82,0.904,0.414,0.449
1610612743,DEN,2022-23,Isolation,7.7,7.5,0.07,0.207,82,0.974,0.435,0.468
1610612754,IND,2022-23,Isolation,8.1,7.6,0.07,0.414,82,0.938,0.412,0.445
1610612762,UTA,2022-23,Isolation,7.6,7.8,0.067,0.0,82,1.026,0.45,0.489
1610612737,ATL,2022-23,Isolation,8.3,8.0,0.073,0.276,82,0.964,0.451,0.482
1610612765,DET,2022-23,Isolation,8.6,8.8,0.077,0.034,82,1.023,0.466,0.514
1610612751,BKN,2022-23,Isolation,10.8,9.6,0.097,0.897,82,0.889,0.401,0.436
1610612738,BOS,2022-23,Isolation,10.2,9.9,0.092,0.241,82,0.971,0.433,0.479
1610612761,TOR,2022-23,Postup,3.4,2.8,0.032,1.0,82,0.824,0.439,0.439
1610612763,MEM,2022-23,Postup,3.0,3.0,0.026,0.517,82,1.0,0.526,0.526
1610612755,PHI,2022-23,Postup,3.3,3.5,0.03,0.034,82,1.061,0.532,0.532
1610612766,CHA,2022-23,Postup,3.8,3.6,0.034,0.828,82,0.947,0.504,0.504
1610612752,NYK,2022-23,Postup,4.0,3.6,0.036,0.862,82,0.9,0.454,0.454
1610612739,CLE,2022-23,Postup,4.0,3.6,0.037,0.931,82,0.9,0.455,0.455
1610612749,MIL,2022-23,Postup,3.7,3.6,0.033,0.586,82,0.973,0.489,0.489
1610612740,NOP,2022-23,Postup,4.0,3.6,0.036,0.897,82,0.9,0.487,0.487
1610612750,MIN,2022-23,Postup,3.9,3.9,0.034,0.621,82,1.0,0.504,0.504
1610612737,ATL,2022-23,Postup,4.1,3.9,0.036,0.793,82,0.951,0.502,0.502
1610612746,LAC,2022-23,Postup,4.6,4.1,0.042,0.966,82,0.891,0.463,0.463
1610612743,DEN,2022-23,Postup,4.5,4.4,0.041,0.655,82,0.978,0.48,0.48
1610612748,MIA,2022-23,Postup,4.3,4.4,0.041,0.276,82,1.023,0.549,0.549
1610612742,DAL,2022-23,Postup,4.5,4.5,0.041,0.552,82,1.0,0.533,0.533
1610612741,CHI,2022-23,Postup,4.7,4.5,0.043,0.759,82,0.957,0.493,0.493
1610612756,PHX,2022-23,Postup,4.6,4.5,0.042,0.69,82,0.978,0.496,0.496
1610612764,WAS,2022-23,Postup,4.6,4.6,0.042,0.379,82,1.0,0.5,0.5
