id,season,team,opponent_abbrev,date,home,team_pts,opponent_fgm,opponent_fga,opponent_fg_pct,opponent_3pm,opponent_3pa,opponent_3p_pct,opponent_ftm,opponent_fta,opponent_ft_pct,opponent_orb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,team_stl,team_blk,team_tov,team_pf,team_orb,team_trb,opponent_pts,pace,team_pace,opponent_pace,off_rating,def_rating,opponent_avg_team_pace,opponent_pace_deviation,opponent_avg_game_pace,opponent_game_pace_deviation,game_id,created_at,updated_at
1,2025-26,TOR,BKN,2026-04-12,1,136,35,86,0.4070,9,34,0.2650,22,29,0.7590,13,38,21,9,0,16.0,27,9,8,10.0,20,3,43,101,100.8,99.8,101.8,136.3,99.3,99.5,2.3,99.6,1.2,2026-04-12_TOR_BKN,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
2,2025-26,PHX,OKC,2026-04-12,0,135,41,95,0.4320,18,46,0.3910,3,9,0.3330,9,36,32,9,7,10.0,8,5,8,13.0,9,13,54,103,101.8,103.6,100.0,130.3,103.0,102.0,-2.0,101.7,0.1,2026-04-12_PHX_OKC,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
3,2025-26,HOU,MEM,2026-04-12,1,132,39,95,0.4110,13,49,0.2650,10,10,1.0000,6,37,23,8,6,13.0,24,10,8,11.0,10,21,64,101,107.3,108.2,106.4,122.0,94.9,104.0,2.4,104.1,3.2,2026-04-12_HOU_MEM,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
4,2025-26,MIA,ATL,2026-04-12,1,143,44,93,0.4730,17,44,0.3860,12,18,0.6670,13,46,31,3,2,17.0,17,11,3,7.0,14,13,45,117,104.7,104.5,104.9,136.9,111.5,104.2,0.7,104.2,0.5,2026-04-12_MIA_ATL,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
5,2025-26,LAL,UTA,2026-04-12,1,131,41,94,0.4360,7,34,0.2060,18,27,0.6670,17,42,25,13,4,16.0,14,12,6,17.0,20,11,49,107,105.7,106.5,104.9,123.0,102.0,104.9,0.0,104.9,0.8,2026-04-12_LAL_UTA,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
6,2025-26,DAL,CHI,2026-04-12,1,149,52,106,0.4910,10,38,0.2630,14,19,0.7370,13,42,30,12,3,13.0,20,10,5,18.0,24,16,57,128,114.1,113.9,114.4,130.8,111.9,105.1,9.3,105.0,9.1,2026-04-12_DAL_CHI,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
7,2025-26,PHI,MIL,2026-04-12,1,126,39,90,0.4330,13,47,0.2770,15,22,0.6820,12,45,26,8,2,19.0,15,13,2,14.0,19,11,45,106,105.0,103.2,106.7,122.0,99.4,100.0,6.7,99.9,5.1,2026-04-12_PHI_MIL,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
8,2025-26,CHA,NYK,2026-04-12,0,110,39,90,0.4330,13,40,0.3250,5,8,0.6250,12,39,25,10,3,11.0,25,7,7,18.0,13,12,46,96,95.5,98.5,92.5,111.7,103.8,99.5,-7.0,99.4,-3.9,2026-04-12_CHA_NYK,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
9,2025-26,CLE,WAS,2026-04-12,1,130,42,90,0.4670,18,41,0.4390,15,19,0.7890,7,30,29,10,2,13.0,21,8,4,20.0,18,17,53,117,102.8,101.2,104.4,128.4,112.1,104.1,0.3,104.0,-1.2,2026-04-12_CLE_WAS,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
10,2025-26,DET,IND,2026-04-12,0,133,41,90,0.4560,23,54,0.4260,16,20,0.8000,8,31,31,15,6,16.0,17,12,6,18.0,17,12,48,121,105.7,104.7,106.8,127.1,113.3,103.7,3.1,103.4,2.3,2026-04-12_DET_IND,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
11,2025-26,POR,SAC,2026-04-12,1,122,40,83,0.4820,7,21,0.3330,23,31,0.7420,15,47,24,7,8,17.0,18,9,3,12.0,21,18,46,110,100.1,101.6,98.6,120.1,111.5,102.2,-3.6,101.8,-1.7,2026-04-12_POR_SAC,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
12,2025-26,DEN,SAS,2026-04-12,0,128,45,99,0.4550,15,47,0.3190,13,18,0.7220,14,45,27,5,5,9.0,18,4,5,12.0,16,19,58,118,102.3,102.7,101.9,124.7,115.8,102.5,-0.6,102.5,-0.2,2026-04-12_DEN_SAS,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
13,2025-26,MIN,NOP,2026-04-12,1,132,45,107,0.4210,5,21,0.2380,31,38,0.8160,20,52,20,9,6,9.0,28,5,13,11.0,27,12,47,126,109.8,106.9,112.7,123.5,111.8,103.3,9.4,103.2,6.6,2026-04-12_MIN_NOP,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
14,2025-26,LAC,GSW,2026-04-12,1,115,36,86,0.4190,11,39,0.2820,27,32,0.8440,16,47,24,3,3,10.0,21,3,4,10.0,24,10,44,110,95.7,97.4,94.1,118.1,116.9,101.7,-7.6,101.7,-6.0,2026-04-12_LAC_GSW,2026-05-02 00:09:50.689353+00,2026-05-02 00:09:50.689353+00
